t,E0,E1,E2
69.8,28.882106591127158,-0.6996459904960611,0.03646882112560584
69.9,28.887682107764256,-0.6857595896927111,0.033633448509658596
70.0,28.89322981639612,-0.6721488201446965,0.031016691885559198
70.10000000000001,28.898749855715746,-0.6588036288095499,0.028597277754606833
70.2,28.904242363724414,-0.6457116683371656,0.0263531320891774
70.3,28.9097074777351,-0.6328527387822078,0.02425597484108318
70.4,28.915145334375946,-0.6201804332042615,0.022253714977051812
70.5,28.920556069593648,-0.6075435691134161,0.02019493829241724
70.60000000000001,28.925939818656868,-0.594297814156897,0.017454691087142885
70.7,28.931296716159615,-0.5782661635697756,0.01195141167105472
70.8,28.9366268960246,-0.5572811597918877,0.0017515666254746725
70.9,28.941930491506604,-0.5320029597376524,-0.01222893150150319
71.0,28.94720763519579,-0.5033689481953771,-0.02887576370976342
71.10000000000001,28.95245845902102,-0.4715596813818497,-0.04787599480040549
71.2,28.957683094253166,-0.4363487429459708,-0.06933074452320113
71.3,28.96288167150838,-0.39733425918861653,-0.09350735717285383
71.4,28.968054320751367,-0.35403560768346376,-0.12073649727447654
71.5,28.97320117129862,-0.3059405358437873,-0.1513631757133806
71.60000000000001,28.978322351821678,-0.2525381675878541,-0.18571423812139728
71.7,28.98341799035032,-0.19335048258749205,-0.22406916950712336
71.8,28.988488214275776,-0.12796575963765017,-0.2666306271886766
71.9,28.993533150353908,-0.05607338183686279,-0.3134952838077408
72.0,28.998552924708378,0.02250290885289443,-0.36462776651926326
72.10000000000001,29.003547662833807,0.10777772069559173,-0.4198417740324388
72.2,29.00851748959891,0.19958820672644467,-0.47879330026457134
72.3,29.01346252924962,0.29759746414630867,-0.5409927677947385
72.4,29.018382905412167,0.40133625741579315,-0.6058536576410259
72.5,29.023278741096224,0.5103627435976833,-0.6728534580542983
72.60000000000001,29.028150158697944,0.6247049447296869,-0.7419600318849975
72.7,29.032997280003013,0.744696302981945,-0.8134348376405386
72.8,29.037820226189716,0.8690856397424462,-0.8859784264952144
72.9,29.04261911783196,0.9945181071122045,-0.9563285451171095
73.0,29.047394074902286,1.116662554424047,-1.020467512651755
73.10000000000001,29.05214521677487,1.231275898885877,-1.0746928597266658
73.2,29.05687266222851,1.3348098349078017,-1.1161814561292978
73.3,29.06157652944958,1.4245634544496806,-1.1430814569306775
73.4,29.06625693603501,1.4985135322094016,-1.1542880696623963
73.5,29.07091399899521,1.5550182953740517,-1.1491114178588349
73.60000000000001,29.075547834756993,1.5925580614317891,-1.127000633966005
73.7,29.080158559166502,1.6095894524973917,-1.0873945815039172
73.8,29.084746287492074,1.604506928627137,-1.0296852618187498
73.9,29.089311134427167,1.5756657643046172,-0.9532427100839549
74.0,29.093853214093187,1.5214284872929202,-0.8574610720818867
74.10000000000001,29.098372640042363,1.440219017917216,-0.7418094692232037
74.2,29.102869525260584,1.3305954621219944,-0.6058983499468833
74.3,29.10734398217021,1.1918038998141667,-0.4500151510825423
74.4,29.111796122632907,1.0300473460887731,-0.2812323980543617
74.5,29.116226057952403,0.8852495409119334,-0.13909145091034694
74.60000000000001,29.120633898877312,0.8071818735962364,-0.06993941603273363
74.7,29.125019755603898,0.7726415560767833,-0.04665992910116163
74.8,29.1293837377788,0.7519395530847974,-0.0378583996058415
74.9,29.1337259545018,0.7352705550687149,-0.033228972929615776
75.0,29.13804651432854,0.7200246490429315,-0.030010608635964137
75.10000000000001,29.142345525273253,0.7054572552312423,-0.027403483642605392
75.2,29.14662309481143,0.6913261296678076,-0.025139669492504606
75.3,29.15087932988253,0.6775397775941534,-0.023112719634811943
75.4,29.15511433689265,0.6640574794786832,-0.021271658699676715
75.5,29.159328221717196,0.6508575025814166,-0.019586995949247895
75.60000000000001,29.16352108970349,0.6379257429882736,-0.018038463757863433
75.7,29.16769304567346,0.6252509978709463,-0.016609882517510936
75.8,29.171844193926223,0.6128222458572398,-0.015286265432312466
75.9,29.175974638240703,0.6006255906621341,-0.014050755961519388
76.0,29.180084481878225,0.5886374953737056,-0.012878115992403244
76.10000000000001,29.184173827585084,0.5768029596749108,-0.011713867761777363
76.2,29.188242777595143,0.5649440507438337,-0.010386486636753949
76.3,29.192291433632363,0.552285117756403,-0.008149434244831751
76.4,29.19631989691335,0.5355618598672062,-0.0018697690736912418
76.5,29.20032826814991,0.5095482772684349,0.013283135737499988
76.60000000000001,29.204316647551522,0.4746287158971217,0.036402576929512744
76.7,29.208285134827886,0.4333525865531692,0.06457828756939325
76.8,29.212233829191376,0.3866474286148383,0.09665012442315135
76.9,29.216162829359572,0.33450965765829566,0.13242884105756147
77.0,29.220072233557676,0.2766330005569073,0.17203185379110136
77.10000000000001,29.223962139520996,0.2126526252290898,0.21562958388016454
77.2,29.227832644497383,0.14224983345268966,0.26334122229354356
77.3,29.231683845249673,0.06521146635882179,0.3151802354900264
77.4,29.235515838058078,-0.018529518441952577,0.37102114231800093
77.5,29.239328718722618,-0.10886699410392849,0.4305811905342423
77.60000000000001,29.243122582565498,-0.20550886012153555,0.4934167622060365
77.7,29.246897524433525,-0.30797997946765515,0.558935096114019
77.8,29.25065363870044,-0.41564106932018213,0.6264206495046188
77.9,29.254391019269303,-0.527722075370281,0.6950738465567313
78.0,29.25810975957481,-0.6433683069408387,0.7640598737994453
78.10000000000001,29.26180995258566,-0.7617034492943021,0.8325710507709787
78.2,29.265491690806886,-0.8819438931333979,0.8999357524128304
78.3,29.26915506628212,-1.0036210748735317,0.9658257830296282
78.4,29.27280017059595,-1.126036335620956,1.0296976129626292
78.5,29.276427094876166,-1.2459223829696067,1.0885329817381166
78.60000000000001,29.280035929796068,-1.3578450244745341,1.1373916383173726
78.7,29.28362676557672,-1.4568322433121776,1.1720672135874064
78.8,29.287199691989194,-1.53939052929569,1.1900170371102878
78.9,29.290754798356847,-1.6031866714245597,1.1899502750769093
79.0,29.294292173557515,-1.646442615517152,1.1711668114670895
79.10000000000001,29.29781190602577,-1.6675294253004391,1.1331296778521824
79.2,29.301314083755106,-1.6648181300950902,1.0753115965884075
79.3,29.304798794300147,-1.6366773480263168,0.9971923407552872
79.4,29.308266124778832,-1.5815193961556442,0.8983030057874775
79.5,29.311716161874607,-1.497856703904791,0.7782776893333708
79.60000000000001,29.315148991838583,-1.3843847001137128,0.6369283642981778
79.7,29.31856470049169,-1.2407780248760314,0.4750170240173137
79.8,29.321963373226815,-1.0764153519486017,0.3027531233599802
79.9,29.32534509501096,-0.9390504758512198,0.16711318795667982
80.0,29.328709950387335,-0.86880899277305,0.10440192203673626
80.10000000000001,29.33205802347751,-0.835671332951929,0.08099980917664491
80.2,29.335389397983484,-0.8142418501366914,0.07005953629094581
80.3,29.338704157189795,-0.7964662622664243,0.06307707772734865
80.4,29.34200238396559,-0.7800671964097952,0.057620616784763164
80.5,29.345284160766713,-0.7643490703546283,0.052927734967724974
80.60000000000001,29.348549569637758,-0.7490785989056404,0.04872748446787039
80.7,29.351798692214118,-0.7341682583692535,0.04490600297353966
80.8,29.355031609724016,-0.7195798474749889,0.04140413940131425
80.9,29.35824840299056,-0.705293216956667,0.038183998688793415
81.0,29.361449152433764,-0.6912952982170075,0.03521705515265812
81.10000000000001,29.36463393807252,-0.6775757483641842,0.03247935748684054
81.2,29.367802839526632,-0.6641246630906785,0.029949013365438825
81.3,29.370955936018813,-0.6509302879162885,0.027603813250369345
81.4,29.374093306376626,-0.6379742285514372,0.025416547257162483
81.5,29.3772150290345,-0.6252162146942708,0.023340379256918804
81.60000000000001,29.38032118203566,-0.6125308356645169,0.021248071035141227
81.7,29.3834118430341,-0.5993956462619041,0.018631449084162623
81.8,29.386487089296498,-0.5839247824013402,0.013682651582833149
81.9,29.389546997704173,-0.5638438120733078,0.004336763807246235
82.0,29.392591644754994,-0.5395555074270091,-0.008755016630859095
82.10000000000001,29.395621106565308,-0.5120152464471813,-0.024461343406860986
82.2,29.3986354588718,-0.4814502269812545,-0.0424260811212233
82.3,29.40163477703345,-0.44766298283383477,-0.06272672101632458
82.4,29.404619136033357,-0.4102700719292786,-0.08561842450417938
82.5,29.40758861048066,-0.3688016387304818,-0.1114276924691456
82.60000000000001,29.41054327461236,-0.3227482522970953,-0.14050320409483924
82.7,29.413483202295232,-0.2715922863615667,-0.1731844386060203
82.8,29.41640846702762,-0.21483741677935012,-0.20977389833350454
82.9,29.419319141941276,-0.1520404460555056,-0.2505086336440694
83.0,29.422215299803245,-0.08284546564104808,-0.2955310825833863
83.10000000000001,29.425097013017613,-0.007017964996169617,-0.34486156349162833
83.2,29.427964353627363,0.0755251763929858,-0.3983762464888568
83.3,29.43081739331617,0.16469521366950512,-0.45579551007713676
83.4,29.433656203410155,0.26022814128908417,-0.516689427057294
83.5,29.436480854879726,0.3617154988296342,-0.5805161035032463
83.60000000000001,29.43929141834132,0.46873760728480535,-0.6467577070741066
83.7,29.442087964059176,0.58127808741437,-0.715322362192835
83.8,29.44487056194707,0.6997733798275099,-0.7865604129456979
83.9,29.4476392815701,0.8233787696366719,-0.8595502062564713
84.0,29.450394192146405,0.9491289083357489,-0.9313680312381294
84.10000000000001,29.453135362548885,1.072879001445152,-0.9981186551633422
84.2,29.455862861306947,1.1903566745331484,-1.0560070622328857
84.3,29.4585767566082,1.2978421983078963,-1.1019866376867062
84.4,29.461277116300174,1.3924284767436006,-1.1339626932787574
84.5,29.46396400789199,1.4719354453873392,-1.1506504942310258
84.60000000000001,29.466637498556086,1.5346456336853733,-1.1512698364889977
84.7,29.469297655129864,1.5790304545174392,-1.135249712103061
84.8,29.47194454411738,1.603569487159829,-1.1020409782374567
84.9,29.474578231690998,1.6066815702819017,-1.0510484172137797
85.0,29.47719878369304,1.5867319082251892,-0.9816402595995788
85.10000000000001,29.479806265637453,1.5420726269259077,-0.8931894224202881
85.2,29.482400742711413,1.4710945475673614,-0.7851231874577412
85.3,29.48498227977698,1.3722856427137715,-0.6569765775385212
85.4,29.487550941372717,1.2444415395609327,-0.5085924413596052
85.5,29.490106791715295,1.0893520375600194,-0.34274074726644865
85.60000000000001,29.492649894701113,0.9304580314805838,-0.18319044241164165
85.7,29.495180313907873,0.8266927357529703,-0.08661567609739393
85.8,29.497698112596193,0.7810010004696895,-0.05166669677183607
85.9,29.500203353711168,0.7571574506649033,-0.039609851672620364
86.0,29.502696099883956,0.7395477396368385,-0.03403769326052256
86.10000000000001,29.50517641343333,0.7239494350222451,-0.030498648775758905
86.2,29.507644356367265,0.7092059115578985,-0.027758909240246047
86.3,29.510099990384475,0.6949594083691313,-0.025427985376603596
86.4,29.51254337687593,0.6810819293086982,-0.023360313704916525
86.5,29.514974576926416,0.6675198109064909,-0.021490850226160565
86.60000000000001,29.517393651316063,0.6542462575725058,-0.019784480939912502
86.7,29.519800660521856,0.6412450797134644,-0.01821852753090308
86.8,29.52219566471915,0.6285043347270494,-0.016775847418400356
86.9,29.524578723783176,0.6160131773491319,-0.015441439546482295
87.0,29.52694989729054,0.6037591689720108,-0.014199685861198028
87.10000000000001,29.529309244520693,0.5917234537138318,-0.013029665353843
